probe_id	probeset_id	x	y
935328	8133655	827	890
935328	8135198	827	890
935328	8141751	827	890
541165	8133210	414	515
541165	8140425	414	515
541165	8140455	414	515
1097918	8133210	667	1045
1097918	8133655	667	1045
1097918	8140425	667	1045
1097918	8140455	667	1045
332689	8133210	888	316
332689	8133655	888	316
332689	8140425	888	316
332689	8140455	888	316
540115	8133210	414	514
540115	8140425	414	514
540115	8140455	414	514
1096072	8133210	921	1043
798679	8133222	678	760
65291	8133276	190	62
277933	8133276	732	264
158231	8133276	730	150
1065670	8133276	969	1014
524436	8133276	485	499
339175	8133276	24	323
143167	8133276	366	136
886614	8133276	413	844
151193	8133276	1042	143
987887	8133276	886	940
89409	8133276	158	85
207950	8133276	49	198
863696	8133276	595	822
294875	8133276	874	280
670028	8133276	127	638
30946	8133276	495	29
30946	8140298	495	29
30946	8140434	495	29
262762	8133276	261	250
262762	8140298	261	250
262762	8140434	261	250
654716	8133276	565	623
654716	8140298	565	623
654716	8140434	565	623
316987	8133276	936	301
316987	8140434	936	301
655766	8133276	565	624
655766	8140298	565	624
655766	8140434	565	624
419831	8133276	880	399
502507	8133276	606	478
502507	8140298	606	478
502507	8140434	606	478
357640	8133276	639	340
357640	8140298	639	340
646630	8133276	879	615
646630	8140298	879	615
96850	8133276	249	92
96850	8140298	249	92
301650	8133276	299	287
301650	8140298	299	287
908561	8133276	310	865
908561	8140298	310	865
74840	8133276	289	71
74840	8140298	289	71
331178	8133276	427	315
331178	8133327	427	315
331178	8140298	427	315
959422	8133276	771	913
959422	8133327	771	913
959422	8140298	771	913
550532	8133276	331	524
550532	8140298	331	524
183255	8133276	554	174
183255	8133327	554	174
183255	8140298	554	174
418481	8133276	580	398
418481	8133327	580	398
418481	8140298	580	398
685778	8133276	127	653
685778	8133327	127	653
685778	8140298	127	653
587400	8133276	449	559
587400	8133327	449	559
587400	8140298	449	559
791669	8133276	1018	753
791669	8133327	1018	753
791669	8140298	1018	753
873043	8133276	492	831
873043	8133327	492	831
873043	8140298	492	831
14529	8133276	878	13
14529	8133327	878	13
14529	8140298	878	13
279175	8133276	924	265
279175	8133327	924	265
279175	8140298	924	265
683924	8133276	373	651
683924	8133332	373	651
683924	8140298	373	651
76975	8133276	324	73
76975	8133332	324	73
76975	8140298	324	73
517228	8133276	627	492
517228	8140298	627	492
812536	8133276	885	773
812536	8133332	885	773
812536	8140298	885	773
425632	8133276	381	405
425632	8133332	381	405
425632	8140298	381	405
14244	8133276	593	13
14244	8133332	593	13
14244	8140298	593	13
285396	8133276	845	271
285396	8133332	845	271
285396	8140298	845	271
111389	8133276	88	106
111389	8133332	88	106
111389	8140298	88	106
202723	8133276	72	193
202723	8133332	72	193
202723	8140298	72	193
471791	8133276	340	449
471791	8133332	340	449
471791	8140298	340	449
813282	8133276	581	774
813282	8133332	581	774
813282	8140298	581	774
797699	8133276	748	759
797699	8140298	748	759
113489	8133276	88	108
113489	8133332	88	108
113489	8140298	88	108
1019730	8133276	179	971
1019730	8133332	179	971
592933	8133276	732	564
592933	8133332	732	564
153084	8133276	833	145
153084	8133332	833	145
153084	8140298	833	145
277198	8133276	1047	263
277198	8133332	1047	263
277198	8140298	1047	263
655970	8133276	769	624
655970	8133332	769	624
655970	8140298	769	624
946383	8133276	332	901
946383	8133332	332	901
946383	8140298	332	901
701334	8133276	983	667
701334	8133332	983	667
701334	8140298	983	667
88202	8133276	1	84
88202	8140298	1	84
987375	8133276	374	940
987375	8140298	374	940
775864	8133301	963	738
775864	8133532	963	738
775864	8133755	963	738
775864	8140240	963	738
775864	8140259	963	738
775864	8140270	963	738
775864	8140281	963	738
383192	8133301	991	364
383192	8133532	991	364
383192	8133755	991	364
383192	8140240	991	364
383192	8140259	991	364
383192	8140270	991	364
383192	8140281	991	364
568766	8133301	715	541
568766	8140240	715	541
568766	8140259	715	541
568766	8140270	715	541
568766	8140281	715	541
934028	8133301	577	889
934028	8133532	577	889
934028	8133755	577	889
934028	8140240	577	889
934028	8140259	577	889
934028	8140270	577	889
934028	8140281	577	889
652696	8133301	645	621
652696	8133532	645	621
652696	8133755	645	621
652696	8140240	645	621
652696	8140259	645	621
652696	8140270	645	621
652696	8140281	645	621
1048363	8133301	462	998
1048363	8140240	462	998
